Electoral wards and divisions Code,Electoral wards and divisions,Ethnic group (20 categories) Code,Ethnic group (20 categories),National Statistics Socio-economic Classification (NS-SeC) (12 categories) Code,National Statistics Socio-economic Classification (NS-SeC) (12 categories),Observation
E05013552,Kenton West,5,"Asian, Asian British or Asian Welsh: Other Asian",7,L12: Semi-routine occupations,43
E05013552,Kenton West,5,"Asian, Asian British or Asian Welsh: Other Asian",8,L13: Routine occupations,38
E05013552,Kenton West,5,"Asian, Asian British or Asian Welsh: Other Asian",9,L14.1: Never worked,71
E05013552,Kenton West,5,"Asian, Asian British or Asian Welsh: Other Asian",10,L14.2: Long-term unemployed,4
E05013552,Kenton West,5,"Asian, Asian British or Asian Welsh: Other Asian",11,L15: Full-time students,85
E05013552,Kenton West,6,"Black, Black British, Black Welsh, Caribbean or African: African",-8,Does not apply,15
E05013552,Kenton West,6,"Black, Black British, Black Welsh, Caribbean or African: African",1,L1 and L2: Large employers and higher managerial and administrative occupations,3
E05013552,Kenton West,6,"Black, Black British, Black Welsh, Caribbean or African: African",2,L3: Higher professional occupations,25
E05013552,Kenton West,6,"Black, Black British, Black Welsh, Caribbean or African: African",3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",21
E05013552,Kenton West,6,"Black, Black British, Black Welsh, Caribbean or African: African",4,L7: Intermediate occupations,23
E05013552,Kenton West,6,"Black, Black British, Black Welsh, Caribbean or African: African",5,L8 and L9: Small employers and own account workers,8
E05013552,Kenton West,6,"Black, Black British, Black Welsh, Caribbean or African: African",6,L10 and L11: Lower supervisory and technical occupations,8
E05013552,Kenton West,6,"Black, Black British, Black Welsh, Caribbean or African: African",7,L12: Semi-routine occupations,28
E05013552,Kenton West,6,"Black, Black British, Black Welsh, Caribbean or African: African",8,L13: Routine occupations,6
E05013552,Kenton West,6,"Black, Black British, Black Welsh, Caribbean or African: African",9,L14.1: Never worked,10
E05013552,Kenton West,6,"Black, Black British, Black Welsh, Caribbean or African: African",10,L14.2: Long-term unemployed,2
E05013552,Kenton West,6,"Black, Black British, Black Welsh, Caribbean or African: African",11,L15: Full-time students,13
E05013552,Kenton West,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",-8,Does not apply,25
E05013552,Kenton West,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",1,L1 and L2: Large employers and higher managerial and administrative occupations,16
E05013552,Kenton West,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",2,L3: Higher professional occupations,21
E05013552,Kenton West,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",66
E05013552,Kenton West,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",4,L7: Intermediate occupations,54
E05013552,Kenton West,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",5,L8 and L9: Small employers and own account workers,23
E05013552,Kenton West,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",6,L10 and L11: Lower supervisory and technical occupations,19
E05013552,Kenton West,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",7,L12: Semi-routine occupations,35
E05013552,Kenton West,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",8,L13: Routine occupations,26
E05013552,Kenton West,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",9,L14.1: Never worked,29
E05013552,Kenton West,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",10,L14.2: Long-term unemployed,4
E05013552,Kenton West,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",11,L15: Full-time students,15
E05013552,Kenton West,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",-8,Does not apply,17
E05013552,Kenton West,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",1,L1 and L2: Large employers and higher managerial and administrative occupations,3
E05013552,Kenton West,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",2,L3: Higher professional occupations,3
E05013552,Kenton West,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",10
E05013552,Kenton West,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",4,L7: Intermediate occupations,10
E05013552,Kenton West,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",5,L8 and L9: Small employers and own account workers,3
E05013552,Kenton West,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",6,L10 and L11: Lower supervisory and technical occupations,0
E05013552,Kenton West,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",7,L12: Semi-routine occupations,4
E05013552,Kenton West,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",8,L13: Routine occupations,3
E05013552,Kenton West,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",9,L14.1: Never worked,3
E05013552,Kenton West,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",10,L14.2: Long-term unemployed,2
E05013552,Kenton West,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",11,L15: Full-time students,5
E05013552,Kenton West,9,Mixed or Multiple ethnic groups: White and Asian,-8,Does not apply,49
E05013552,Kenton West,9,Mixed or Multiple ethnic groups: White and Asian,1,L1 and L2: Large employers and higher managerial and administrative occupations,2
E05013552,Kenton West,9,Mixed or Multiple ethnic groups: White and Asian,2,L3: Higher professional occupations,7
E05013552,Kenton West,9,Mixed or Multiple ethnic groups: White and Asian,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",7
E05013552,Kenton West,9,Mixed or Multiple ethnic groups: White and Asian,4,L7: Intermediate occupations,7
E05013552,Kenton West,9,Mixed or Multiple ethnic groups: White and Asian,5,L8 and L9: Small employers and own account workers,3
E05013552,Kenton West,9,Mixed or Multiple ethnic groups: White and Asian,6,L10 and L11: Lower supervisory and technical occupations,0
E05013552,Kenton West,9,Mixed or Multiple ethnic groups: White and Asian,7,L12: Semi-routine occupations,5
E05013552,Kenton West,9,Mixed or Multiple ethnic groups: White and Asian,8,L13: Routine occupations,1
E05013552,Kenton West,9,Mixed or Multiple ethnic groups: White and Asian,9,L14.1: Never worked,1
E05013552,Kenton West,9,Mixed or Multiple ethnic groups: White and Asian,10,L14.2: Long-term unemployed,2
E05013552,Kenton West,9,Mixed or Multiple ethnic groups: White and Asian,11,L15: Full-time students,5
E05013552,Kenton West,10,Mixed or Multiple ethnic groups: White and Black African,-8,Does not apply,8
E05013552,Kenton West,10,Mixed or Multiple ethnic groups: White and Black African,1,L1 and L2: Large employers and higher managerial and administrative occupations,0
E05013552,Kenton West,10,Mixed or Multiple ethnic groups: White and Black African,2,L3: Higher professional occupations,0
E05013552,Kenton West,10,Mixed or Multiple ethnic groups: White and Black African,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",4
E05013552,Kenton West,10,Mixed or Multiple ethnic groups: White and Black African,4,L7: Intermediate occupations,2
E05013552,Kenton West,10,Mixed or Multiple ethnic groups: White and Black African,5,L8 and L9: Small employers and own account workers,3
E05013552,Kenton West,10,Mixed or Multiple ethnic groups: White and Black African,6,L10 and L11: Lower supervisory and technical occupations,3
E05013552,Kenton West,10,Mixed or Multiple ethnic groups: White and Black African,7,L12: Semi-routine occupations,1
E05013552,Kenton West,10,Mixed or Multiple ethnic groups: White and Black African,8,L13: Routine occupations,0
E05013552,Kenton West,10,Mixed or Multiple ethnic groups: White and Black African,9,L14.1: Never worked,5
E05013552,Kenton West,10,Mixed or Multiple ethnic groups: White and Black African,10,L14.2: Long-term unemployed,1
E05013552,Kenton West,10,Mixed or Multiple ethnic groups: White and Black African,11,L15: Full-time students,5
E05013552,Kenton West,11,Mixed or Multiple ethnic groups: White and Black Caribbean,-8,Does not apply,22
E05013552,Kenton West,11,Mixed or Multiple ethnic groups: White and Black Caribbean,1,L1 and L2: Large employers and higher managerial and administrative occupations,1
E05013552,Kenton West,11,Mixed or Multiple ethnic groups: White and Black Caribbean,2,L3: Higher professional occupations,3
E05013552,Kenton West,11,Mixed or Multiple ethnic groups: White and Black Caribbean,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",10
E05013552,Kenton West,11,Mixed or Multiple ethnic groups: White and Black Caribbean,4,L7: Intermediate occupations,6
E05013552,Kenton West,11,Mixed or Multiple ethnic groups: White and Black Caribbean,5,L8 and L9: Small employers and own account workers,2
E05013552,Kenton West,11,Mixed or Multiple ethnic groups: White and Black Caribbean,6,L10 and L11: Lower supervisory and technical occupations,0
E05013552,Kenton West,11,Mixed or Multiple ethnic groups: White and Black Caribbean,7,L12: Semi-routine occupations,6
E05013552,Kenton West,11,Mixed or Multiple ethnic groups: White and Black Caribbean,8,L13: Routine occupations,5
E05013552,Kenton West,11,Mixed or Multiple ethnic groups: White and Black Caribbean,9,L14.1: Never worked,0
E05013552,Kenton West,11,Mixed or Multiple ethnic groups: White and Black Caribbean,10,L14.2: Long-term unemployed,0
E05013552,Kenton West,11,Mixed or Multiple ethnic groups: White and Black Caribbean,11,L15: Full-time students,6
E05013552,Kenton West,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,-8,Does not apply,32
E05013552,Kenton West,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,1,L1 and L2: Large employers and higher managerial and administrative occupations,2
E05013552,Kenton West,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,2,L3: Higher professional occupations,3
E05013552,Kenton West,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",6
E05013552,Kenton West,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,4,L7: Intermediate occupations,9
E05013552,Kenton West,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,5,L8 and L9: Small employers and own account workers,9
E05013552,Kenton West,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,6,L10 and L11: Lower supervisory and technical occupations,1
E05013552,Kenton West,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,7,L12: Semi-routine occupations,4
E05013552,Kenton West,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,8,L13: Routine occupations,1
E05013552,Kenton West,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,9,L14.1: Never worked,2
E05013552,Kenton West,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,10,L14.2: Long-term unemployed,0
E05013552,Kenton West,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,11,L15: Full-time students,8
E05013552,Kenton West,13,"White: English, Welsh, Scottish, Northern Irish or British",-8,Does not apply,145
E05013552,Kenton West,13,"White: English, Welsh, Scottish, Northern Irish or British",1,L1 and L2: Large employers and higher managerial and administrative occupations,35
E05013552,Kenton West,13,"White: English, Welsh, Scottish, Northern Irish or British",2,L3: Higher professional occupations,88
E05013552,Kenton West,13,"White: English, Welsh, Scottish, Northern Irish or British",3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",263
E05013552,Kenton West,13,"White: English, Welsh, Scottish, Northern Irish or British",4,L7: Intermediate occupations,185
E05013552,Kenton West,13,"White: English, Welsh, Scottish, Northern Irish or British",5,L8 and L9: Small employers and own account workers,243
E05013552,Kenton West,13,"White: English, Welsh, Scottish, Northern Irish or British",6,L10 and L11: Lower supervisory and technical occupations,48
E05013552,Kenton West,13,"White: English, Welsh, Scottish, Northern Irish or British",7,L12: Semi-routine occupations,108
E05013552,Kenton West,13,"White: English, Welsh, Scottish, Northern Irish or British",8,L13: Routine occupations,105
E05013552,Kenton West,13,"White: English, Welsh, Scottish, Northern Irish or British",9,L14.1: Never worked,94
E05013552,Kenton West,13,"White: English, Welsh, Scottish, Northern Irish or British",10,L14.2: Long-term unemployed,6
E05013552,Kenton West,13,"White: English, Welsh, Scottish, Northern Irish or British",11,L15: Full-time students,63
E05013552,Kenton West,14,White: Irish,-8,Does not apply,11
E05013552,Kenton West,14,White: Irish,1,L1 and L2: Large employers and higher managerial and administrative occupations,6
E05013552,Kenton West,14,White: Irish,2,L3: Higher professional occupations,14
E05013552,Kenton West,14,White: Irish,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",31
E05013552,Kenton West,14,White: Irish,4,L7: Intermediate occupations,35
E05013552,Kenton West,14,White: Irish,5,L8 and L9: Small employers and own account workers,27
E05013552,Kenton West,14,White: Irish,6,L10 and L11: Lower supervisory and technical occupations,12
E05013552,Kenton West,14,White: Irish,7,L12: Semi-routine occupations,21
E05013552,Kenton West,14,White: Irish,8,L13: Routine occupations,36
E05013552,Kenton West,14,White: Irish,9,L14.1: Never worked,18
E05013552,Kenton West,14,White: Irish,10,L14.2: Long-term unemployed,0
E05013552,Kenton West,14,White: Irish,11,L15: Full-time students,3
E05013552,Kenton West,15,White: Gypsy or Irish Traveller,-8,Does not apply,6
E05013552,Kenton West,15,White: Gypsy or Irish Traveller,1,L1 and L2: Large employers and higher managerial and administrative occupations,0
E05013552,Kenton West,15,White: Gypsy or Irish Traveller,2,L3: Higher professional occupations,0
E05013552,Kenton West,15,White: Gypsy or Irish Traveller,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
